Sr.No,county name,FIPS code,County seat,Established
1,Appling County,1,Baxley,1818
2,Atkinson County,3,Pearson,1917
3,Bacon County,5,Alma,1914
4,Baker County,7,Newton,1825
5,Baldwin County,9,Milledgeville,1803
6,Banks County,11,Homer,1858
7,Barrow County,13,Winder,1914
8,Bartow County,15,Cartersville,1832
9,Ben Hill County,17,Fitzgerald,1906
10,Berrien County,19,Nashville,1856
11,Bibb County,21,Macon,1822
12,Bleckley County,23,Cochran,1912
13,Brantley County,25,Nahunta,1920
14,Brooks County,27,Quitman,1858
15,Bryan County,29,Pembroke,1793
16,Bulloch County,31,Statesboro,1796
17,Burke County,33,Waynesboro,1777
18,Butts County,35,Jackson,1825
19,Calhoun County,37,Morgan,1854
20,Camden County,39,Woodbine,1777
21,Candler County,43,Metter,1914
22,Carroll County,45,Carrollton,1826
23,Catoosa County,47,Ringgold,1853
24,Charlton County,49,Folkston,1854
25,Chatham County,51,Savannah,1777
26,Chattahoochee County,53,Cusseta,1854
27,Chattooga County,55,Summerville,1838
28,Cherokee County,57,Canton,1831
29,Clarke County,59,Athens,1801
30,Clay County,61,Fort Gaines,1854
31,Clayton County,63,Jonesboro,1858
32,Clinch County,65,Homerville,1850
33,Cobb County,67,Marietta,1832
34,Coffee County,69,Douglas,1854
35,Colquitt County,71,Moultrie,1856
36,Columbia County,73,Appling,1790
37,Cook County,75,Adel,1918
38,Coweta County,77,Newnan,1826
39,Crawford County,79,Knoxville,1822
40,Crisp County,81,Cordele,1905
41,Dade County,83,Trenton,1837
42,Dawson County,85,Dawsonville,1857
43,Decatur County,87,Bainbridge,1823
44,DeKalb County,89,Decatur,1822
45,Dodge County,91,Eastman,1870
46,Dooly County,93,Vienna,1821
47,Dougherty County,95,Albany,1853
48,Douglas County,97,Douglasville,1870
49,Early County,99,Blakely,1818
50,Echols County,101,Statenville,1858
51,Effingham County,103,Springfield,1777
52,Elbert County,105,Elberton,1790
53,Emanuel County,107,Swainsboro,1812
54,Evans County,109,Claxton,1914
55,Fannin County,111,Blue Ridge,1854
56,Fayette County,113,Fayetteville,1821
57,Floyd County,115,Rome,1832
58,Forsyth County,117,Cumming,1832
59,Franklin County,119,Carnesville,1784
60,Fulton County,121,Atlanta,1853
61,Gilmer County,123,Ellijay,1832
62,Glascock County,125,Gibson,1857
63,Glynn County,127,Brunswick,1777
64,Gordon County,129,Calhoun,1850
65,Grady County,131,Cairo,1905
66,Greene County,133,Greensboro,1786
67,Gwinnett County,135,Lawrenceville,1818
68,Habersham County,137,Clarkesville,1818
69,Hall County,139,Gainesville,1818
70,Hancock County,141,Sparta,1793
71,Haralson County,143,Buchanan,1856
72,Harris County,145,Hamilton,1827
73,Hart County,147,Hartwell,1853
74,Heard County,149,Franklin,1830
75,Henry County,151,McDonough,1821
76,Houston County,153,Perry,1821
77,Irwin County,155,Ocilla,1818
78,Jackson County,157,Jefferson,1796
79,Jasper County,159,Monticello,1807
80,Jeff Davis County,161,Hazlehurst,1905
81,Jefferson County,163,Louisville,1796
82,Jenkins County,165,Millen,1905
83,Johnson County,167,Wrightsville,1858
84,Jones County,169,Gray,1807
85,Lamar County,171,Barnesville,1920
86,Lanier County,173,Lakeland,1920
87,Laurens County,175,Dublin,1807
88,Lee County,177,Leesburg,1826
89,Liberty County,179,Hinesville,1777
90,Lincoln County,181,Lincolnton,1796
91,Long County,183,Ludowici,1920
92,Lowndes County,185,Valdosta,1825
93,Lumpkin County,187,Dahlonega,1832
94,Macon County,193,Oglethorpe,1837
95,Madison County,195,Danielsville,1811
96,Marion County,197,Buena Vista,1827
97,McDuffie County,189,Thomson,1870
98,McIntosh County,191,Darien,1793
99,Meriwether County,199,Greenville,1827
100,Miller County,201,Colquitt,1856
101,Mitchell County,205,Camilla,1857
102,Monroe County,207,Forsyth,1821
103,Montgomery County,209,Mount Vernon,1793
104,Morgan County,211,Madison,1807
105,Murray County,213,Chatsworth,1832
106,Muscogee County,215,Columbus,1826
107,Newton County,217,Covington,1821
108,Oconee County,219,Watkinsville,1875
109,Oglethorpe County,221,Lexington,1793
110,Paulding County,223,Dallas,1832
111,Peach County,225,Fort Valley,1924
112,Pickens County,227,Jasper,1853
113,Pierce County,229,Blackshear,1857
114,Pike County,231,Zebulon,1822
115,Polk County,233,Cedartown,1851
116,Pulaski County,235,Hawkinsville,1808
117,Putnam County,237,Eatonton,1807
118,Quitman County,239,Georgetown,1858
119,Rabun County,241,Clayton,1819
120,Randolph County,243,Cuthbert,1828
121,Richmond County,245,Augusta,1777
122,Rockdale County,247,Conyers,1870
123,Schley County,249,Ellaville,1857
124,Screven County,251,Sylvania,1793
125,Seminole County,253,Donalsonville,1920
126,Spalding County,255,Griffin,1851
127,Stephens County,257,Toccoa,1905
128,Stewart County,259,Lumpkin,1830
129,Sumter County,261,Americus,1831
130,Talbot County,263,Talbotton,1827
131,Taliaferro County,265,Crawfordville,1825
132,Tattnall County,267,Reidsville,1801
133,Taylor County,269,Butler,1852
134,Telfair County,271,McRae,1807
135,Terrell County,273,Dawson,1856
136,Thomas County,275,Thomasville,1825
137,Tift County,277,Tifton,1905
138,Toombs County,279,Lyons,1905
139,Towns County,281,Hiawassee,1856
140,Treutlen County,283,Soperton,1917
141,Troup County,285,Lagrange,1826
142,Turner County,287,Ashburn,1905
143,Twiggs County,289,Jeffersonville,1809
144,Union County,291,Blairsville,1832
145,Upson County,293,Thomaston,1824
146,Walker County,295,Lafayette,1833
147,Walton County,297,Monroe,1818
148,Ware County,299,Waycross,1824
149,Warren County,301,Warrenton,1793
150,Washington County,303,Sandersville,1784
151,Wayne County,305,Jesup,1803
152,Webster County,307,Preston,1853
153,Wheeler County,309,Alamo,1912
154,White County,311,Cleveland,1857
155,Whitfield County,313,Dalton,1851
156,Wilcox County,315,Abbeville,1857
157,Wilkes County,317,Washington,1777
158,Wilkinson County,319,Irwinton,1803
159,Worth County,321,Sylvester,1853
